Card / Deck	Oh God, You Devil	Omnath Bloodbath	What in Damnations	Angela's Party Time	Goblins	The deck with no name	Not Green	Brother of Mishra	Triple H	Blood Bath	Operation Titan	Dee Void	Bosom Buddies	Strange Thingies	Feed your head	Monsters and Mazes	MechaDragonTron	Hydra Porn	Black Hole	Meow Meow Beans	Good guys wear black	No Rares	Pale Horse	Werewolves	Trogdors	I win You lose	Fish Sticks	Slimefoot	Monkey Joe	Land Creation	Fancy Pants	Hell's Angels	X-Men	Zombies!	Vampires	Mill Deck	Heavenly Inferno	Niv-Mezzet	Mono Blue	Big Creature	Jeski Cycle	A.L.B.S.	Super Friends	Mimeoplasm	Bant Enchant	Mono Green (Elves)	Red Artifact	Clones	Gods	Bolas	Breed Lethality
Skyclave Relic	1				1	1		1		1				1					1	1	1		1	1			1	1		1	1		1	1	1	1	1										1	1	1		1
Skycloud Expanse																	1																																		
Slagwood's Bridge																														1																					
Slimefoot, the Stowaway																												Commader																							
Slinnvoda, The rising deep																						1																													
Slippery Karst									1						1			1				1																		1		1				1					
Sloppity Bilepiper				1																																															
Sludge Monster																																				1															
Smoke Stack																														1																					
Smoldering Crater																																						1			1						1			1	
Snapcaster Mage																																									1										
Snowfield Sinkhole			1																														1																		
Sokenzan, Crucible of Defiance					1	1																																													
Sol Ring		1	1	1	1	1	1	1	1	1	1	1	1	1	1		1	1	1		1	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Sol Talisman																		1							1					1		1																			
Solemn Simulacrum	1	1			1		1					1	1	1			1		1	1	1		1	1	1	1	1			1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1			1	1
Solitude			1																				1																												
Song of Creation		1								1																																									
Song of the Dryads																																										1									
Sorin Markov														1																																					
Sorin the merthless									1																										1																
Sorin, Grim Nemisis																																																			1
Sorin, Imperilous Bloodlord																																			1																
Sorin, Solemn Visitor																																			1																
Soul of new phrexyia										1		1																																			1				
Soul Swindler									1																																										
Space Beleren		1																																																	
Spara's Headquarters													1			1									1																								1		
Spark Double																																											1					1			
Spawning Kraken										1																																									
Spectator Seating																1				1											1				1		1														
Spectral Searchlight																														1																					
Spellpyre Pheonix																																									1										
SpellSeeker								1																																											
Spellskite																			1						1	1	1									1		1		1								1			
Sphynx of the second sun																																																1			
Sphynx of the steel wind																										1																									
Sphynx Soveriegn																										1																									
Sphynx Summoner																										1																									
Sphynx's Revelation																										1																									
Sphynx's Tutelage																																				1															
Spike Shot Elder					1																																														
Spine Bluff Canal																																						1													
Spine of Ish Sah																																															1				
Spinnerette, Arachnobat									1																																										
spinning wheel							1							1																																					
Spinny Ride									a																																										
Spire Garden											1					1				1																															
Spirebluff Canal										1																																									
Spiritmonger																																												1							
Spitting Image																																																1			
Splendid Reclamation 																														1																					
Spreading seas																																																			
Squee, Dubious Monarch					1																																														
Squee, Goblin Nabu					1																																														
Squee, The Immortal					1																																														
Squirrel Mob																													1																						
Squirrel Sanctuary																													1																						
Squirrel Sovereign																													1																						
Squirrel Squatters									1																																										
Squirrel's Nest																													1																						
Sram, Senior Edificer																	1																																		
Staff of Domination							1					1																																							
Staff of Titania															1																																				
Stallwort Pathlighters																																1																			
Star Storm																																															1				
Starfield of Nyx																																													1						
Starstorm																																									1										
Steam Vents				1						1															1													1			1		1								
Steamvents (Fake)																																																		1	
Steel Helkite																				1					1										1		1	1		1	1						1			1	1
Steelbane Hydra		1																1																																	
Steelshapers Gift																															1																				
Step right up									1																																										
Sterling Grove																																													1				1		
Stirring Wildwood															1																	1	1																		
Stolen Identity																																																1			
Stomping Ground										1										1				1	1					1																			1		
Stoneforge Mystic																															1																				
Stonespeaker Crystal												1																																							
Stonybrook Bannerette																											1																								
Storm King's Thunder	1																																																		
Stormcarved Coast										1	1																											1												1	
Stormfist Crusader						1																																													
Stormtide Leviathan										1																																									
Story Book Ride																																																			
Story Circle																							1																												
Striped Riverwinder																																									1										
Stripmine	1								1										1															1		1		1	1	1	1	1		1	1	1	1	1			
Strixhaven Stadium																												1																							
Stroke of Genius																																				1		1												1	
Stuffy Doll												1								1			1																												
Stunning Reversal																																																			
Stunt Double																																																1			
Sublime Epiphany																											1									1			1				1					1			
Sublime Exhalation																																																			1
Sulfur Falls																																						1					1							1	
Sulfurous Mire				1		1																																													
Sulfurous Springs						1																																													
Summon Undead									1																																										
Summonor's Pact																																										1									
Sun Titan							1													1											1		1								1										
Sunbaked Canyon																				1															1																
Sundering Stroke	1				1																																														
Sundown Pass							1																																												
Sungrass Prairie															1																	1																			
Sunken Hollow																																		1									1								
Sunken Ruins				1			1												1							1								1									1	1							
Sunpetal Grove																																1																			1
Sunscour																							1																												
Supreme Verdict								1																																									1		
Surge Hacker Mech																	1																																		
Surrak Dragonclaw													1																																						
Svyelun of the Sea																											Commander																								
Swarm Yard																													1																						
Swift Reconfiguration																	1																																		
Swift water cliffs																																						1													
Swiftfoot Boots						1	1								1	1								1							1				1		1										1			1	
Swinging Ship									a																																										
Sword of Body and Mind																															1																				
Sword of Feast and Famine																															1			1								1	1								
Sword of Fire and Ice																															1												1								
Sword of Hearth and Home			1																												1																				
Sword of Kaldra																															1																				
Sword of Light and Shadow																															1																				
Sword of Sinew and Steel																															1												1								
Sword of Truth and Justice																															1												1								
Sword of Vengeance																															1																				
Sword of War and Peace																															1																				
Swords to Plowshares			1					1								1				1			1										1				1								1						
Sylval Scrying		1																																																	
Sylvan Caryatid											1									1					1															1											
Sylvan Library																																										1						1	1		
Sylvan Reclamation													1																																						1
Sylvan Safekeeper										1																																									
Sylvan Tutor																																										1									
Syr Konrad, the Grim																					Commander													1																	
Szarzkh, the Silent King																					1																														
Tail's End																																							1												
Tajuru Preserver																																														1					
Take Possesion																						1																													
Takenuma, Abandoned Mire			1	1		1			1					1		1			1							1																		1							
Talisman of Dominance				1																																															
Talisman of Indulgence				1																																															
Talrand, Sky Sommoner																											1																								
Tameshi, reality architect																	1																																		
Tamiyo, Compleated Sage																1																																			
Tamiyo, the Moon Sage																																						1					1								
tangle Wire																																															1				
Tangled Florahedron																																								1											
Tanglepool Bridge																						1																													
Tanglewire																														1																					
Tariel, Reckoner of Souls																									1												1														
Tasa Hideous Laughter																																				1															
Tatyova, Benthic Druid											1											1																													
Tectonic Edge																																				1															
Tectonic Reformation																																									1										
Teferi, Hero of Dominaria		1															1		1																																
Teferi, Master of Time																	1		1																	1			1												
Teferi, Time Raveler								1																																											
Teferi's Ageless Insight																			1																				1		1										
Teferi's Protection		1	1					1					1		1	1			1						1												1				1								1		
Teferi's Puzzlebox												1							1																																
Teferi's Tutelage																																				1															
Temple Garden															1					1					1							1													1						1
Temple of Abandon										1										1				1																											
Temple of Deceit																			1							1								1										1						1	
Temple of Englightenment								1									1		1							1																									
Temple of Epiphany				1						1																												1													
Temple of malady									1																			1	1															1							
Temple of Malice						1																																													
Temple of Mystery										1	1																													1								1			
Temple of Plenty															1					1												1	1																		
Temple of Silence			1																1							1							1		1		1														
Temple of the False God	1		1	1		1			1	1		1		1	1		1	1			1	1	1	1							1			1		1		1	1	1	1	1		1	1	1	1				1
Temple of Triumph																				1											1				1																
Temporal Manipulation																																						1					1								
Temporal Mastery																										1																									
Tempt with discovery		1																																															1		
Tendershoot Driad																												1																							
Terastodon											1																			1										1		1		1							
Terminate													1																								1														
Terminus																							1																												
Terramorphic Expanse			1		1								1									1			1								1																		
Terror o Mount Velus										1																																									
Terror of the peaks																									1																									1	
Tevesh Szat, Doom of Fools																													1																						
Tevesh Szat, Doom of fools																			1									1																							
Teysa, Envoy of Ghosts																																																			
Tezzeret, Betrayer of Flesh																																																			
Tezzeret, Master of metal																																																			
Tezzeret, Master of the Bridge																										1																									
Tezzeret's Gambit										1																																								1	
Thadda Adel Acquisitor																											1																								
Thassa, Deep-Dwelling		1																								1	1													1								1	1		
Thassa, GOd of the sea																											1													1									1		
Thassa's Oracle																											1									1															
Thaumatic Compass																																															1				
The Chain Veil																																																		1	
The council of four																1																																			
The Cruelty for Gix														1							1																														
The Deck of Many Things																				1			1																												
The Elderspell																																											1								
The Git Rog Monster									1																																										
The great henge																																								1		1		1	1						
The haunt of hightower																																	1		1									1							1
The Kami War																									1																										
The Locust God																																																		1	
The Magic Mirror																			1								1											1													
The Mightstone and Weakstone								1																																											
The Mimeoplasm																																												Commander							
The most dangerous Gamer									Commander																																										
The Ozolith																																												1							
The Reality Chip																1	1																																		
The Reaver Cleaver							1																																												
The restoration of Eiganjo																	1																																		
The Royal Scions													1																									1													
The Scarab God																			1															Commander x 2																1	
The Scorpion God																																																		1	
The Tarrasque										1																							1																		
The Ur-Dragon																									Commander																										
The Wanderer			1																				1																												
The wandering emperor			1												1																																				
The world tree																1									1																								1		
Their number is Legion																					1																														
Thespian Stage													1														1									1															
Thorn Elemental																																												1							
Thornwood Falls																						1																													
Thought Vessel								1				1											1					1										1													
Thoughtcast																	1																																		
Thrakkus the Butcher																																																			
Thran Dynamo	1	1	1	1	1		1	1	1				1					1								1	1		1	1				1	1	1	1	1	1	1		1	1	1	1	1				1	1
Thrashing Brontodon																																																			
Three Visits															1																		1																		
Thryx, the Sudden Storm											1																																								
Thunder Hawk Gunship																	1																																		
Thwart																																							1												
Tiamat																									1																										
Tibalt, The Fiend Blooded	1																																																		
Tidal Warrior																											1																								
Tide Shaper																											1																								
Tidespout Tyrant										1																																									
Time Spiral																			1																																
Time Stop				1																																		1													
Time Stretch				1																																		1													
Time Warp								1								1			1							1																	1								
Time Wipe																	1									1																									
Timeless Dragon															1																																				
Timeless Witness		1									1							1				1		1					1	1		1										1									
Timless Dragon																															1																				
Titan of Industry											1																																								
Titania, Protector of Argoth																														1																					
Titania's Command															1																																				
Titanoth Rex																						1																						1							
Tithe																				1																															
Toggo, Goblin Weapon Smith					1																																														
Tolaria																											1									1			1												
Tolaria West																											1											1													
Tomb Fortress																					1																														
Tooth and Nail																																										1									
Toralf, God of Fury (flip)																																															1				
Torband, Thane of Redfell	1																																																		
Torment of HailFire				1																																															
Tormod's Crypt								1																																											
Tormund's Crypt																					1																														
Torrential Gearhulk																																						1													
Toski, Bearer or Secrets																		1							1				1			1														1					
Tovolar, Dire Overlord																								Commander																											
Tovolar's Huntmaster																								1																											
Trade Secrets				1																																															
Trading Post												1																																							
Training Cetner				1						1	1					1																																	1		
Tranquil Thicket																		1				1										1								1		1		1	1	1					
Trash Bin									a																																										
Traumatize																																				1								1							
Treachery																																													1			1			
Treasure Cruise																						1																													1
Treasure Vault								1							1				1										1			1																			
Treetop Village																		1														1										1			1	1					
Triskaidekaphile																										1																									
Triumphant Reckoning																	1																																1		
True-Name Nemesis																											1																	1							
Tsunami																														1																					
Tuktuk the explorer					1																																														
Tunnel of Love									a																																										
Tunnel VIsion																																				1															
Turntimber Symbosis (flip)									1																			1	1													1						1	1		
Tuvasa the Subnlit																																													Commander						
Twilight Mire									1																			1	1															1							
Twinferno	1																																																		
Two-Headed Hellkite													1																																						
Tyrant's Familiar																																																			
Tyusi, The Falling Star																																					1														
Ugin, the Ineffable								1				1																		1						1					1										
Ugin, the spirit dragon								1				1				1									1			1		1				1							1		1			1	1		1	1	
Ulamog, the Ceaseless Hunger						1						1																	1																		1				
Ulamog, the Infinite Gyre						1			1			1									1																		1												
Ulamog's Crusher																						1																													
Ultramarines Honour Guard															1																																				
Ulvenwald Observer																				1																															
Umara Wizard																											1																								
Umezawa's Jitte																				1											1															1					
Unbreakable Formation															1																																				
Unburial Rties			1																																																
Undead Augur																																		1																	
Undead Warchief																																		1																	
Underground River							1												1															1										1							1
Undergrowth Stadium									1							1												1	1															1					1		
Underworld Dreams																			1																																
Underworld Hermit						1																							1																						
Unite the Coalition													1																																						
Universal Solvent							1																																												
Unnatural Growth																		1						1																											
Unnatural Moonrise																								1																											
Urabrask the Hidden																								1																											
Urban Evolution		1																																						1											
Urborg, tomb of yawgmoth																												1	1					1									1							1	
Uro, Titan of Nature's Wrath											1														1															1				1							
Urza Lord High Artificer								1																																											
Urza Lord Protector								Commander																																											
Urza Prince of Kroog								1																																											
Urza, Chief Artificer																										Commander																									
Urza's Factory								1				1										1	1													1											1				
Urza's Mine								1				1																																							
Urza's Power Plant								1				1																																							
Urza's Rage						1																																													
Urza's Saga								1																								1															1				
Urza's Stylex							1																																												
Urza's Tower								1				1																																							
Utopia Tree																																								1											
Utter End			1				1																												1		1														
Utvara Helkite																																					1														
Valakut Awakening											1																																								
Valecut, the molten pinacle	1																																																		
Valentin, Dean of the Vein																												1																							
Valki, God of Lies																																																	1		
Vampire Nocturnous																																																			
Vampiric Tutor									1										1									1		1					1		1						1						1		
Vanquisher's Banner																											1																								
Varis, Silvery Moon Ranger																																1																			
Vastwood Hyrdra																																																			
Vault of Champions																										1									1		1														
Vedalkin Engineer																	1																																		
Vedalkin Orrery																																															1				
Venture Forth		1								1								1																																	
Verdant Catacombs																		1										1	1	1				1								1				1			1		
Verdant Command															1																																				
Verdant Force																												1																							
Verduran Enchantress																																													1						
Verdurous Gearhulk										1																																									
Vesuva																																		1		1				1						1					
Vesuvian Doppelganger																																																1			
Vexing Puzzle Box									1			1																																			1				
Victory's Envoy																																1																			
Vigor																		1						1																											
Vilis, Broker of Blood																					1												1				1														
Vindicate			1				1						1						1						1								1		1		1														1
Vines of vastwood																		1																																	
Violent Impect																																									1										
Vish Kal, Blood Arbiter			Commander																																																
Visions of Phyrexia							1																								1																				
Vivian on the Hunt																																										1									
Vivien Reid											1																																		1						
Vizier of Tumbling Sands																																									1										
Void Winnower												1																																							
Volatile Arsonist																								1																											
Volatile Fjord				1																					1																										
Voldalian Hexcatcher																											1																								
Voldarin Estate																																			1																
Vona, Butcher of magic																																			1																
Voracious Hydra																		1																																	
Vorinclek, mostrous raider											1							1											1																						1
Vorinclex, Voice of Hunger		1									1																																			1					
Vrasca's Contempt			1											1														1						1																1	1
Vraska the unseen																																																			1
Vraska, Swarm's Immonence																													1																						1
Vraska's Contempt1														1																																					
Vulpikeet																																	1																		
Wake of Destruction																														1																					
Wake the Past																															1																				
Waker of waves																						1																		1				1							1
Walking Ballista																		1																																	
Wand of Wonder																1																															1				
Wandering Archaic												1								1						1													1												
War Room												1		1	1						1		1	1	1		1	1								1											1				
Wasteland																	1	1				1					1			1	1					1		1								1					
Waterfront Bouncer																											1																								
Waterlogged Grove																																								1				1	1						
Watery Grave				1															1						1	1								1									1	1						1	1
Wayfarers Bottle																																															1				
Weatherlite																	1																																		
Weaver of Blossoms																								1																											
Well of Knowledge												1																																							
Well of lost Dreams																			1																																
Wellwisher																																														1					
Werewolf Pack Leader																								1																											
Whiptongue Hydra																		1																																	
Whispersilk Cloak															1																1																				
White Sun's Zenith															1																																				
Wild Ricochet	1																																																		
WIldfire																														1																					
Wildfire Devils	1																																																		
Will Helt the rot cleaver																																		1																	
Will Kenrith																																											1								
Will the Wise																1																																			
Windfall																			1																																
Winds of Rath																																													1						
Windswept Heath																														1												1				1		1			
Winter Orb								1																																											
Wipe CLean																																									1										
Witch's Cottage														1							1																														
Witherbloom Campus																													1																						
Withered Wretch																																																			
Wolfir Silverheart																								1																											
Wooded Bastioin															1					1												1													1						
Wooded Foothills		1								1			1																													1		1		1		1			
Woodfall Primus																														1										1											
Woodland Bellower																																														1					
Woodland Cemetery																													1															1							
Woodland Chasm									1																				1				1																		
Woodland Stream																						1																													
Word of seizing																																																			
Worldly Tutor																1		1																											1			1			
Worldspine Wurm																																								1		1									
Worn Powerstone				1																		1																													
Wrap in Vigor																																																			
Wrath of God		1	1					1											1	1			1																												
Wren's Run Hydra																		1																																	
Wrenn and Seven		1																																								1									
Wrenn and Six																														1																					
Wurmcoil Engine																				1						1										1		1									1				
Wyll's Reversal	1																																																		
Xander's Lounge				1									1			1																																	1	1	
Xenagos, God of the revels																																																	1	`	
Xyris, the Writhing Storm													1																																						
Yavimaya Coast																																								1								1			1
Yavimaya Elder																		1											1															1				1			
Yavimaya Hollow																																										1									
Yavimaya, Cradle of Growth									1																				1			1	1							1		1				1		1			
Yavimaya's Embrace																						1																													
Yeva, Nature's Herald																																														1					
Yosei, The Morning Star																																																			
Yurlok of scorched thrash																														Commander																					
Zacama, Primal Calamity													1																																						
Zagoth Triome													1			1									1																			1					1		1
Zara, Renegade Recruiter							1																																												
Zariel, Archduke of Sarnus																								1																											
Zealous Conscripts						1				1										1																															
Zellix, Sanity Flayer																																				1															
Zendikar Resurgance																		1																																	
Zenith Flare																																									1										
Zhalfirin Void												1																																							
Ziatorus, proving ground																1														1																					
Zombie Master																																		1																	
Zombify																																																			
Zorin Orb																														1																					
Zuriel, Archduke of Avernus	1																																																		
Zurzoth, Chaos Rider	Commander																																																		
